

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
811.315  068.410  066.921: sourcing /Users/israel/.vim/bundle/vim-addon-manager-known-repositories/plugin/vim-addon-manager-known-repositories.vim
811.690  000.098  000.098: sourcing /Users/israel/.vim/bundle/vimazing/plugin/vimazing.vim
812.047  000.158  000.158: sourcing /Users/israel/.vim/bundle/vimcallgraph/plugin/vimcallgraph.vim
812.479  000.175  000.175: sourcing /Users/israel/.vim/bundle/vimdictive/plugin/vimdict.vim
813.064  000.521  000.521: sourcing /Users/israel/.vim/bundle/vimdictive/plugin/vimdictive.vim
813.337  000.070  000.070: sourcing /Users/israel/.vim/bundle/vimlispy/plugin/vimlispy.vim
814.299  000.084  000.084: sourcing /Users/israel/.vim/bundle/vimpeg_parser_csv/autoload/csv.vim
815.657  000.414  000.414: sourcing /Users/israel/.vim/symlinks/vimpeg/autoload/vimpeg.vim
819.422  005.852  005.354: sourcing /Users/israel/.vim/bundle/vimpeg_parser_csv/plugin/vimpeg_parser_csv.vim
819.824  000.139  000.139: sourcing /Users/israel/.vim/bundle/vimregstyle/plugin/extended_regex.vim
820.457  000.580  000.580: sourcing /Users/israel/.vim/bundle/vimregstyle/plugin/vrs.vim
820.972  000.314  000.314: sourcing /Users/israel/.vim/bundle/visual-objects/plugin/search_objects.vim
821.322  000.149  000.149: sourcing /Users/israel/.vim/bundle/visualrepeat/plugin/visualrepeat.vim
821.778  000.262  000.262: sourcing /Users/israel/.vim/symlinks/area41/plugin/area41.vim
822.041  000.051  000.051: sourcing /Users/israel/.vim/symlinks/calc/plugin/calculator.vim
822.309  000.087  000.087: sourcing /Users/israel/.vim/symlinks/csv/plugin/csv.vim
824.256  000.727  000.727: sourcing /Users/israel/.vim/symlinks/delimitMate/autoload/delimitMate.vim
828.424  005.919  005.192: sourcing /Users/israel/.vim/symlinks/delimitMate/plugin/delimitMate.vim
828.669  000.055  000.055: sourcing /Users/israel/.vim/symlinks/efmc/plugin/efmc.vim
829.197  000.329  000.329: sourcing /Users/israel/.vim/symlinks/extradite/plugin/extradite.vim
847.872  015.269  015.269: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor.vim
850.617  018.802  003.533: sourcing /Users/israel/.vim/symlinks/frawor/autoload/frawor.vim
854.513  023.303  004.501: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/autocommands.vim
856.661  002.084  002.084: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/base64.vim
867.824  004.999  004.999: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/resources.vim
870.418  010.845  005.846: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/decorators.vim
886.709  005.824  005.824: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/fwc/constructor.vim
894.652  006.525  006.525: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/fwc/topconstructs.vim
914.133  007.226  007.226: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/os.vim
925.657  009.721  009.721: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/signs.vim
932.507  030.650  013.703: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/fwc/intfuncs.vim
937.427  041.359  010.709: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/fwc/parser.vim
943.125  066.982  013.274: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/fwc/compiler.vim
946.359  074.595  007.613: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/fwc.vim
949.897  093.171  007.731: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/checks.vim
963.758  013.787  013.787: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/commands.vim
979.007  015.103  015.103: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/decorators/altervars.vim
979.253  000.157  000.157: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/decorators.vim
993.575  014.260  014.260: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/functions.vim
993.910  000.255  000.255: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/fwc/compiler.vim
994.121  000.149  000.149: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/fwc/constructor.vim
994.377  000.194  000.194: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/fwc/intfuncs.vim
994.653  000.215  000.215: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/fwc/parser.vim
994.871  000.151  000.151: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/fwc/topconstructs.vim
995.106  000.174  000.174: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/fwc.vim
1007.084  012.925  012.925: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/history.vim
1024.149  016.993  016.993: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/lua.vim
1049.298  013.736  013.736: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/options.vim
1055.524  031.307  017.571: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/mappings.vim
1055.730  000.144  000.144: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/options.vim
1055.939  000.148  000.148: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/os.vim
1069.179  013.188  013.188: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/perl.vim
1085.908  016.646  016.646: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/python.vim
1086.118  000.137  000.137: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/resources.vim
1106.449  020.274  020.274: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/ruby.vim
1106.713  000.184  000.184: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/signs.vim
1120.115  013.340  013.340: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/table.vim
1136.647  016.475  016.475: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor/tcl.vim
1136.752  000.036  000.036: sourcing /Users/israel/.vim/symlinks/frawor/plugin/frawor.vim
1137.059  000.068  000.068: sourcing /Users/israel/.vim/symlinks/fugitive/plugin/fugitive.vim
1138.024  000.768  000.768: sourcing /Users/israel/.vim/symlinks/gitv/plugin/gitv.vim
1138.339  000.120  000.120: sourcing /Users/israel/.vim/symlinks/gundo/plugin/gundo.vim
1138.879  000.142  000.142: sourcing /Users/israel/.vim/symlinks/lh-vim/plugin/let.vim
1139.064  000.131  000.131: sourcing /Users/israel/.vim/symlinks/lh-vim/plugin/lhvl.vim
1140.761  000.589  000.589: sourcing /Users/israel/.vim/symlinks/lh-vim/autoload/lh/menu.vim
1141.204  002.045  001.456: sourcing /Users/israel/.vim/symlinks/lh-vim/plugin/ui-functions.vim
1141.407  000.147  000.147: sourcing /Users/israel/.vim/symlinks/lh-vim/plugin/words_tools.vim
1142.192  000.584  000.584: sourcing /Users/israel/.vim/symlinks/mailapp/plugin/MailApp.vim
1149.964  007.569  007.569: sourcing /Users/israel/.vim/symlinks/nerdcommenter/plugin/NERD_commenter.vim
1152.995  001.623  001.623: sourcing /Users/israel/.vim/symlinks/nerdtree/autoload/nerdtree.vim
1155.594  000.809  000.809: sourcing /Users/israel/.vim/symlinks/nerdtree/lib/nerdtree/path.vim
1156.571  000.263  000.263: sourcing /Users/israel/.vim/symlinks/nerdtree/lib/nerdtree/menu_controller.vim
1157.442  000.199  000.199: sourcing /Users/israel/.vim/symlinks/nerdtree/lib/nerdtree/menu_item.vim
1158.312  000.216  000.216: sourcing /Users/israel/.vim/symlinks/nerdtree/lib/nerdtree/key_map.vim
1159.392  000.410  000.410: sourcing /Users/israel/.vim/symlinks/nerdtree/lib/nerdtree/bookmark.vim
1161.170  000.581  000.581: sourcing /Users/israel/.vim/symlinks/nerdtree/lib/nerdtree/tree_file_node.vim
1162.517  000.649  000.649: sourcing /Users/israel/.vim/symlinks/nerdtree/lib/nerdtree/tree_dir_node.vim
1163.504  000.334  000.334: sourcing /Users/israel/.vim/symlinks/nerdtree/lib/nerdtree/opener.vim
1164.579  000.415  000.415: sourcing /Users/israel/.vim/symlinks/nerdtree/lib/nerdtree/creator.vim
1181.921  000.200  000.200: sourcing /Users/israel/.vim/symlinks/nerdtree/nerdtree_plugin/exec_menuitem.vim
1182.683  000.700  000.700: sourcing /Users/israel/.vim/symlinks/nerdtree/nerdtree_plugin/fs_menu.vim
1183.856  033.692  027.293: sourcing /Users/israel/.vim/symlinks/nerdtree/plugin/NERD_tree.vim
1185.241  000.036  000.036: sourcing /opt/local/share/vim/vim74/filetype.vim
1186.251  000.032  000.032: sourcing /opt/local/share/vim/vim74/ftplugin.vim
1187.251  000.036  000.036: sourcing /opt/local/share/vim/vim74/filetype.vim
1188.243  000.032  000.032: sourcing /opt/local/share/vim/vim74/indent.vim
1190.028  005.828  005.692: sourcing /Users/israel/.vim/symlinks/slimv/plugin/paredit.vim
1191.371  000.159  000.159: sourcing /Users/israel/.vim/symlinks/vim-addon-mw-utils/autoload/funcref.vim
1192.561  002.283  002.124: sourcing /Users/israel/.vim/symlinks/snipmate/plugin/snipMate.vim
1192.697  000.084  000.084: sourcing /Users/israel/.vim/symlinks/snipmate/plugin/snipMateInterface.vim
1193.585  000.665  000.665: sourcing /Users/israel/.vim/symlinks/snippetbar/plugin/SnippetsBar.vim
1194.815  001.009  001.009: sourcing /Users/israel/.vim/symlinks/surround/plugin/surround.vim
1195.420  000.406  000.406: sourcing /Users/israel/.vim/symlinks/tabular/plugin/Tabular.vim
1195.988  000.385  000.385: sourcing /Users/israel/.vim/symlinks/tagbar/plugin/tagbar.vim
1196.562  000.380  000.380: sourcing /Users/israel/.vim/symlinks/template/plugin/templates.vim
1197.015  000.258  000.258: sourcing /Users/israel/.vim/symlinks/transpose-words/plugin/transpose_words.vim
1198.405  000.225  000.225: sourcing /Users/israel/.vim/symlinks/vim-traitor/autoload/traitor.vim
1199.504  000.106  000.106: sourcing /Users/israel/.vim/symlinks/vim-traitor/autoload/traits/debug.vim
1199.575  002.322  001.991: sourcing /Users/israel/.vim/symlinks/vim-traitor/plugin/traitor.vim
1199.958  000.150  000.150: sourcing /Users/israel/.vim/symlinks/vimpeg/plugin/vimpeg.vim
1201.608  000.424  000.424: sourcing /Users/israel/.vim/symlinks/vimple/autoload/vimple/ls.vim
1203.028  000.271  000.271: sourcing /Users/israel/.vim/symlinks/vimple/autoload/vimple.vim
1204.541  000.178  000.178: sourcing /Users/israel/.vim/symlinks/vimple/autoload/vimple/highlight.vim
1228.379  000.181  000.181: sourcing /Users/israel/.vim/symlinks/vimple/autoload/vimple/scriptnames.vim
1238.267  000.188  000.188: sourcing /Users/israel/.vim/symlinks/vimple/autoload/vimple/version.vim
1243.291  000.194  000.194: sourcing /Users/israel/.vim/symlinks/vimple/autoload/vimple/marks.vim
1244.035  043.864  042.428: sourcing /Users/israel/.vim/symlinks/vimple/plugin/vimple.vim
1247.064  002.787  002.787: sourcing /Users/israel/.vim/symlinks/vimpoint/plugin/vimpoint.vim
1247.640  000.322  000.322: sourcing /Users/israel/.vim/symlinks/vimregex/plugin/VimRegEx.vim
1247.779  000.078  000.078: sourcing /Users/israel/.vim/symlinks/vimregex/plugin/vsutil.vim
1248.372  000.304  000.304: sourcing /Users/israel/.vim/symlinks/whitelines/plugin/whitelines.vim
1251.368  000.394  000.394: sourcing /Users/israel/.vim/symlinks/xptemplate/autoload/XPT.vim
1251.975  001.994  001.600: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/classes/FiletypeScope.vim
1252.587  000.557  000.557: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/classes/FilterValue.vim
1254.046  000.353  000.353: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/debug.vim
